current_points,offences_last_12m,minor_offences,moderate_offences,severe_offences,days_since_last_offence,avg_days_between_offences,years_since_licence_issue,suspension_proximity,stability_index,trend_encoded,label
3.0,0,0,0,0,235.0,57.0,20.0,0.2,92.0,0,0
12.0,2,1,1,0,30.0,84.0,3.0,0.8,62.0,1,1
7.0,1,0,0,0,210.0,90.0,8.0,0.4666666666666667,81.33333333333333,0,0
4.0,1,0,0,0,330.0,85.0,21.0,0.2666666666666666,89.33333333333333,0,0
5.0,1,1,0,0,90.0,110.0,10.0,0.3333333333333333,84.66666666666667,1,0
9.0,3,1,2,0,0.0,59.0,8.0,0.6,66.0,1,1
11.0,2,0,2,1,30.0,57.0,15.0,0.7333333333333333,56.66666666666667,1,1
7.0,0,0,0,0,303.0,72.0,15.0,0.4666666666666667,81.33333333333333,0,0
10.0,3,1,1,1,0.0,79.0,12.0,0.6666666666666666,61.33333333333334,1,1
4.0,2,1,0,0,90.0,37.0,18.0,0.2666666666666666,87.33333333333333,1,0
1.0,0,0,0,0,319.0,56.0,1.0,0.0666666666666666,97.33333333333331,0,0
4.0,1,1,0,0,0.0,72.0,10.0,0.2666666666666666,87.33333333333333,1,0
4.0,2,1,1,0,0.0,50.0,1.0,0.2666666666666666,83.33333333333333,1,0
8.0,3,1,1,0,60.0,40.0,1.0,0.5333333333333333,72.66666666666667,1,1
6.0,0,0,0,0,357.0,121.0,14.0,0.4,84.0,0,0
14.0,3,2,1,0,0.0,35.0,6.0,0.9333333333333332,54.66666666666666,1,1
0.0,0,0,0,0,318.0,53.0,22.0,0.0,100.0,0,0
3.0,0,0,0,0,272.0,115.0,20.0,0.2,92.0,0,0
9.0,0,0,1,0,30.0,40.0,25.0,0.6,72.0,1,0
1.0,2,1,0,0,150.0,84.0,22.0,0.0666666666666666,95.33333333333331,1,0
2.0,0,0,0,0,344.0,145.0,9.0,0.1333333333333333,94.66666666666669,0,0
3.0,2,0,2,0,90.0,52.0,12.0,0.2,84.0,1,0
3.0,0,1,0,0,0.0,59.0,11.0,0.2,90.0,1,0
1.0,0,0,0,0,216.0,95.0,7.0,0.0666666666666666,97.33333333333331,0,0
13.0,5,2,0,2,0.0,14.0,13.0,0.8666666666666667,49.33333333333333,1,1
7.0,2,0,0,1,30.0,111.0,16.0,0.4666666666666667,75.33333333333333,1,1
5.0,3,2,0,0,0.0,55.0,4.0,0.3333333333333333,82.66666666666667,1,0
3.0,1,1,0,1,0.0,93.0,21.0,0.2,84.0,1,0
11.0,1,0,1,0,0.0,102.0,14.0,0.7333333333333333,66.66666666666667,1,1
2.0,0,0,0,0,231.0,49.0,20.0,0.1333333333333333,94.66666666666669,0,0
2.0,0,0,0,0,292.0,59.0,2.0,0.1333333333333333,94.66666666666669,0,0
1.0,0,0,0,0,219.0,61.0,20.0,0.0666666666666666,97.33333333333331,0,0
3.0,1,2,0,0,120.0,88.0,11.0,0.2,88.0,1,0
3.0,0,0,0,0,230.0,134.0,10.0,0.2,92.0,0,0
7.0,1,0,0,0,300.0,61.0,25.0,0.4666666666666667,81.33333333333333,0,0
8.0,2,1,1,0,0.0,82.0,25.0,0.5333333333333333,72.66666666666667,1,1
0.0,1,0,0,0,190.0,69.0,9.0,0.0,100.0,0,0
10.0,1,0,1,1,60.0,62.0,15.0,0.6666666666666666,63.33333333333334,1,1
0.0,0,0,0,0,202.0,118.0,21.0,0.0,100.0,0,0
0.0,0,0,0,0,274.0,122.0,25.0,0.0,100.0,0,0
0.0,1,0,0,0,235.0,135.0,13.0,0.0,100.0,0,0
7.0,2,0,1,1,0.0,25.0,18.0,0.4666666666666667,71.33333333333333,1,1
8.0,4,0,3,0,30.0,28.0,25.0,0.5333333333333333,66.66666666666667,1,1
1.0,1,0,0,0,195.0,100.0,19.0,0.0666666666666666,97.33333333333331,0,0
8.0,3,1,1,1,0.0,42.0,6.0,0.5333333333333333,66.66666666666667,1,1
3.0,0,0,0,0,324.0,48.0,2.0,0.2,92.0,0,0
4.0,0,0,0,0,199.0,126.0,25.0,0.2666666666666666,89.33333333333333,0,0
9.0,2,1,0,1,90.0,84.0,16.0,0.6,68.0,1,1
7.0,0,0,0,0,253.0,135.0,16.0,0.4666666666666667,81.33333333333333,0,0
4.0,0,0,0,0,274.0,75.0,6.0,0.2666666666666666,89.33333333333333,0,0
6.0,1,1,0,0,0.0,66.0,13.0,0.4,82.0,1,0
13.0,3,1,0,2,0.0,84.0,25.0,0.8666666666666667,51.33333333333333,1,1
10.0,4,2,1,2,0.0,54.0,9.0,0.6666666666666666,53.33333333333334,1,1
3.0,0,0,0,0,254.0,125.0,16.0,0.2,92.0,0,0
3.0,0,0,0,1,30.0,100.0,17.0,0.2,86.0,1,0
14.0,4,1,0,3,0.0,45.0,4.0,0.9333333333333332,42.66666666666666,1,1
7.0,2,1,1,0,0.0,99.0,7.0,0.4666666666666667,75.33333333333333,1,1
4.0,0,0,0,0,326.0,83.0,25.0,0.2666666666666666,89.33333333333333,0,0
14.0,3,0,1,2,0.0,89.0,4.0,0.9333333333333332,46.66666666666666,1,1
9.0,3,0,2,0,60.0,58.0,25.0,0.6,68.0,1,1
6.0,1,1,0,0,150.0,33.0,3.0,0.4,82.0,1,0
9.0,0,0,0,1,60.0,60.0,9.0,0.6,70.0,1,1
2.0,1,0,0,0,348.0,131.0,3.0,0.1333333333333333,94.66666666666669,0,0
5.0,2,3,0,0,90.0,42.0,11.0,0.3333333333333333,80.66666666666667,1,0
8.0,2,1,1,0,90.0,77.0,9.0,0.5333333333333333,72.66666666666667,1,1
1.0,0,0,0,0,198.0,94.0,3.0,0.0666666666666666,97.33333333333331,0,0
3.0,2,0,1,0,90.0,115.0,15.0,0.2,88.0,1,0
4.0,0,0,1,0,0.0,122.0,13.0,0.2666666666666666,85.33333333333333,1,0
14.0,5,0,2,3,0.0,58.0,17.0,0.9333333333333332,36.66666666666666,1,1
4.0,0,0,0,0,291.0,134.0,9.0,0.2666666666666666,89.33333333333333,0,1
8.0,2,1,0,0,150.0,54.0,7.0,0.5333333333333333,76.66666666666667,1,0
2.0,1,0,0,0,299.0,133.0,21.0,0.1333333333333333,94.66666666666669,0,0
1.0,1,0,0,0,249.0,52.0,6.0,0.0666666666666666,97.33333333333331,0,0
6.0,2,0,1,0,120.0,94.0,8.0,0.4,80.0,1,0
5.0,0,0,0,0,331.0,79.0,11.0,0.3333333333333333,86.66666666666667,0,0
6.0,0,0,0,0,192.0,91.0,2.0,0.4,84.0,0,0
0.0,0,0,0,0,238.0,117.0,10.0,0.0,100.0,0,0
6.0,1,0,0,0,358.0,88.0,17.0,0.4,84.0,0,0
0.0,0,0,0,0,329.0,84.0,8.0,0.0,100.0,0,0
1.0,0,0,0,0,198.0,105.0,20.0,0.0666666666666666,97.33333333333331,0,0
3.0,0,1,0,0,90.0,86.0,10.0,0.2,90.0,1,0
1.0,2,1,0,0,60.0,104.0,2.0,0.0666666666666666,95.33333333333331,1,0
3.0,0,0,0,0,292.0,85.0,3.0,0.2,92.0,0,0
6.0,2,1,0,1,30.0,74.0,12.0,0.4,76.0,1,1
3.0,1,1,0,0,90.0,54.0,21.0,0.2,90.0,1,0
1.0,1,0,0,0,301.0,113.0,3.0,0.0666666666666666,97.33333333333331,0,0
3.0,0,1,0,0,30.0,94.0,7.0,0.2,90.0,1,0
1.0,0,0,0,0,330.0,99.0,1.0,0.0666666666666666,97.33333333333331,0,0
